userName,skor,at,text,cleaned_text
Rintal Fernandez,negative,2023-12-22 11:50:00,vhoucer nya cuman bayar seabank cod nggak laku vhoucer nya gimana sihsebel deh belanja susah baik,vhoucer nya cuman bayar seabank cod nggak laku vhoucer nya gimana sihsebel deh belanja susah
Akun Baru,neutral,2023-12-22 10:08:00,pesan sesuai cod cek bayar,pesan sesuai cod cek bayar
Fitri Yani,positive,2023-12-22 07:19:00,cod terkadng kecewanominal tentu kualitas semangat shopee ,cod terkadng kecewanominal kualitas semangat shopee
Lutfi 01,neutral,2023-12-22 06:59:00,kemarin cekout shopee 12 12 cod smp skrang nih udh tanggal 22 12 blm jg barang kemas ngga sma toko ga jlas,kemarin cekout shopee cod smp skrang nih udh tanggal blm jg barang kemas ngga sma toko ga jlas
Tiur Mawati,positive,2023-12-22 06:50:00,suka aplikasi shopee knp ya belanja cod barang sy slalu retur kompirmasi tautau barang yg pesan retur sy butuh barang nya,suka aplikasi shopee knp ya belanja cod barang sy slalu retur kompirmasi tautau barang yg pesan retur sy butuh barang nya
bastian hari siswanto,positive,2023-12-22 06:48:00,hi shopee knp skrg pilih bayar ya langsung masuk cod free ongkir,hi shopee knp skrg pilih bayar ya langsung masuk cod free ongkir
Bam zZ,neutral,2023-12-22 06:33:00,info min login akun shopee scan barcode hp bsa dhdupkan masak iya bikin akun min sdangkan akun bnyak pesan,info min login akun shopee scan barcode hp bsa dhdupkan masak iya bikin akun min sdangkan akun bnyak pesan
Nita Firmansyah,positive,2023-12-22 06:17:00,shopee kasi diskongratis ongkirada sistem bayar cod cek dulumembantu sekali,shopee kasi diskongratis ongkirada sistem bayar cod cek dulumembantu
GodOfMakro,neutral,2023-12-22 03:37:00,mohon perhati nyaa keluh shope paket kirim rumah cod mes paket terkadang kirim paket codmohon baik,mohon perhati nyaa keluh shope paket kirim rumah cod mes paket terkadang kirim paket codmohon
Den Duty,negative,2023-12-21 14:19:00,bagus pindah akun hp diribetkan atur verifikasi scan barcodemending langsung masuksudah coba ulang bisaalhasil pindah toko ijo aja mudah ribet atur suruh kirim identitas dirisegitunya,bagus pindah akun hp diribetkan atur verifikasi scan barcodemending langsung masuksudah coba ulang bisaalhasil pindah toko ijo aja mudah ribet atur suruh kirim identitas dirisegitunya
E. Nurhayati,positive,2023-12-21 13:11:00,barang pes terima sesuai bayar cod bantu barang ngirim uang langsung pesan bayar barang terima terimakasih shopee moga maju layan,barang pes terima sesuai bayar cod bantu barang ngirim uang langsung pesan bayar barang terima terimakasih shopee moga maju layan
mei triana putri,neutral,2023-12-21 12:17:00,spinjam nya gamuncul pdhl guna aktif spaylatter belanja cash cod jg,spinjam nya gamuncul pdhl aktif spaylatter belanja cash cod jg
Ikhwan 38,negative,2023-12-21 11:48:00,tolong perhati proses kirim nya pasti aman ganti rugi jasa kirim anda barang pes cod payment hilang perjalanansya sayang barang pesan provinsi sayajarak tempuh provinsi kabupaten 23 jam estimasi tanggal 20sedangkan tanggal 19 21 kabupaten tolong konfirmasi sayaatau jual,tolong perhati proses kirim nya aman ganti rugi jasa kirim barang pes cod payment hilang perjalanansya sayang barang pesan provinsi sayajarak tempuh provinsi kabupaten jam estimasi tanggal tanggal kabupaten tolong konfirmasi sayaatau jual
gracia dungus,negative,2023-12-21 10:01:00,kirim skali kali gagal kirim cod gagal kirim langsung tunggu in nya gagal taru alam sesuai titik rumah gagal skarang langsung bayar gagal kirim skalirugi sepele in shopeekalo gitu cari yg laindari php,kirim skali kali gagal kirim cod gagal kirim langsung tunggu in nya gagal taru alam sesuai titik rumah gagal skarang langsung bayar gagal kirim skalirugi sepele in shopeekalo gitu cari yg laindari php
M Yusuf Yusefa (Yusuf),positive,2023-12-21 09:36:00,ongkir cod sesuai cod cek nyoba cek kurir larang kaya sistem laksana toko oke bagus ,ongkir cod sesuai cod cek nyoba cek kurir larang kaya sistem laksana toko oke bagus
laela agfi,positive,2023-12-21 09:12:00,udah bertahuntahun setia belanja shopee kesini sulit dpet ongkir ya klau vocher tp skrg bnya toko yg udh ga gratis ongkir transfer bank cod biar gratis ongkir pkai bank kayak maksa bget byar pakai bank lbih enak sistem dlu,udah bertahuntahun setia belanja shopee kesini sulit dpet ongkir ya klau vocher tp skrg bnya toko yg udh ga gratis ongkir transfer bank cod biar gratis ongkir pkai bank kayak maksa bget byar pakai bank lbih enak sistem dlu
Ed Win,positive,2023-12-21 09:10:00,dpt gratis ongkir hrs nunggu tgl cantik krn suka codtrimaksh shopeeseller n kurir,dpt gratis ongkir hrs nunggu tgl cantik krn suka codtrimaksh shopeeseller n kurir
Uci Adhinata,positive,2023-12-21 07:06:00,over all bagus sayang voucher gratis ongkir cod nggak kaya pake seabank seabank nggak ,over all bagus sayang voucher gratis ongkir cod nggak kaya pake seabank seabank nggak
Ddidin986 â€œSaefullâ€ Sahidin,positive,2023-12-21 06:46:00,mudah mah shopee cod terima kasih keoercayan no 1,mudah mah shopee cod terima kasih keoercayan no
Muhardi 58,positive,2023-12-21 04:44:00,kadang2 yg gak order sy lg nunggu cod barang yg sy order sy order choper yg sandal,kadang yg gak order sy lg nunggu cod barang yg sy order sy order choper yg sandal
D y,negative,2023-12-20 23:58:00,pakai shopee pilih jasa expedisi otomatis sistem yg pilih jasa expedisi kota layan expedisi layan paket langgan jasa expedisi malas paket alamat tuju kurir makan yg pilih bayar cod jasa expedisi paket serah jga peduli uang aman,pakai shopee pilih jasa expedisi otomatis sistem yg pilih jasa expedisi kota layan expedisi layan paket langgan jasa expedisi malas paket alamat tuju kurir makan yg pilih bayar cod jasa expedisi paket serah jga peduli uang aman
Mohamad Hariyanto,neutral,2023-12-20 17:18:00,shopee kian mahal ongkirnya cod bawah 100rb tdk pot ongkir pot ongkir transaksi atas 100rb tdk cod utk cod biaya tmbhn mahal,shopee kian mahal ongkirnya cod rb tdk pot ongkir pot ongkir transaksi rb tdk cod utk cod biaya tmbhn mahal
Ska Tani,positive,2023-12-20 14:25:00,app banjar serba enak deh pokok cod yg suka,app banjar serba enak deh pokok cod yg suka
BELAJARR GAMINGG,negative,2023-12-20 12:53:00,toko abal spinjam bunga jga kurir yg cek samain ama cod nunggu cek pergi ngk langsung pergi aja,toko abal spinjam bunga jga kurir yg cek samain ama cod nunggu cek pergi ngk langsung pergi aja
Whulan Setianegara,negative,2023-12-20 12:46:00,paket tbtb gak tau manatidak pengirimnyamana cod,paket tbtb gak tau manatidak pengirimnyamana cod
Redza Afriyansah,negative,2023-12-20 12:08:00,apk shopee bnyk updatetp cod ga bisabuat bnyk update klo ga codpa lg gratis ongkir ny klo kya gin psti bnyk plnggan yg kcwa ny brpindah k apk,apk shopee bnyk updatetp cod ga bisabuat bnyk update klo ga codpa lg gratis ongkir ny klo kya gin psti bnyk plnggan yg kcwa ny brpindah k apk
Andika Himawan,negative,2023-12-20 12:00:00,lebih expedisi shopexpress nggak banget 2 kali jual rugi pegawai nggak banget parah kirim 2 kali kalimantan barang nggak beli kurir maen return tau nggak asli pasu jual nggak dapet nggak bener system nya usahain orang cod biar milih pakai jasa kirim otomatis pakai shopexpress merasadirugikan,expedisi shopexpress nggak banget kali jual rugi pegawai nggak banget parah kirim kali kalimantan barang nggak beli kurir maen return tau nggak asli pasu jual nggak dapet nggak bener system nya usahain orang cod biar milih pakai jasa kirim otomatis pakai shopexpress merasadirugikan
Prempatan Rebel,negative,2023-12-20 09:54:00,mkin ga profesional bngt kirim nya apalgi yg sistem cod nyaa udh kirim ga kirim bru dtanghgua kecewa dngn kirim nyaa,mkin ga profesional bngt kirim nya apalgi yg sistem cod nyaa udh kirim ga kirim bru dtanghgua kecewa dngn kirim nyaa
wahyu ardiansyah,negative,2023-12-20 07:10:00,pesan udah nyampe kota tuju batal kembali jual alasanya alamat gak temu nyampenya agen spx agenya gak resmi gak temu alamat parah gak solusi kembali jual udah nungguin pas kota tuju dibatalkandikembalikan jual 1 paket 3 paket kembali kena imbas coutumer fitur cod nonaktif kecewa,pesan udah nyampe kota tuju batal jual alasanya alamat gak temu nyampenya agen spx agenya gak resmi gak temu alamat parah gak solusi jual udah nungguin pas kota tuju dibatalkandikembalikan jual paket paket kena imbas coutumer fitur cod nonaktif kecewa
Santi Heriyanti,negative,2023-12-20 06:12:00,shopee transaksi aja pakek sea bank transfer cod g dpt gratis ongkir males checkout dalah bye,shopee transaksi aja pakek sea bank transfer cod g dpt gratis ongkir males checkout dalah bye
Jamilinda Jamilinda,negative,2023-12-20 05:06:00,sulit dpt potong ongkir haruspake seabank codpun biaya tangan mahal heran ya shopee kalo orangorang pindah lain hati,sulit dpt potong ongkir haruspake seabank codpun biaya tangan mahal heran ya shopee kalo orangorang pindah hati
Dekos Alviero,negative,2023-12-20 04:56:00,kena tipu chek out barang cod shock breaker yg kirim sendal shopee bantu apaapa payah ga tanggung ga aju kembali karna yg kirim beda resi inti tipu shopee cegah jahat jahat,kena tipu chek out barang cod shock breaker yg kirim sendal shopee bantu apaapa payah ga tanggung ga aju karna yg kirim beda resi inti tipu shopee cegah jahat jahat
Baihaki Khaizan,negative,2023-12-20 03:58:00,bayar shopee pay skrg uh susah cod barang jg bnyk yg gk bsa,bayar shopee pay skrg uh susah cod barang jg bnyk yg gk bsa
chulo papi,negative,2023-12-20 03:14:00,shope jelek ga log in log inharus pake barcode parah gila,shope jelek ga log in log inharus pake barcode parah gila
Simon Sabarlele,positive,2023-12-20 02:26:00,makasih app bantu respon cod cepat,makasih app bantu respon cod cepat
Darma Adi,neutral,2023-12-19 23:34:00,sistim bayar cod bagus seabank ribet kaya tolong cod nya balikin lagijgn pake seabankterima kasih,sistim bayar cod bagus seabank ribet kaya tolong cod nya balikin lagijgn pake seabankterima kasih
Ide Konten,negative,2023-12-19 22:32:00,sen cod paket agen gagal kirim krn rescedule dgn customer customer ga hubung ujung nya gagal kirim krn customer tolak paket ga antar customer pergi pusat bantu aja ga solusi emang bener belanja tik tok shop agen kirim klo paket dri shopee sengaja dijelekin layan krn yg pake tik tok shop agen kirim yg tp oke,sen cod paket agen gagal kirim krn rescedule dgn customer customer ga hubung ujung nya gagal kirim krn customer tolak paket ga customer pergi pusat bantu aja ga solusi emang bener belanja tik tok shop agen kirim klo paket dri shopee sengaja dijelekin layan krn yg pake tik tok shop agen kirim yg tp oke
Rosa,positive,2023-12-19 19:55:00,shopee gk gratis ongkir cod kadang cumang cumang menit,shopee gk gratis ongkir cod kadang cumang cumang menit
Sumarno Kiagenglukulo,positive,2023-12-19 11:42:00,belanja d shopee mudah butuh harga jangkau cod kirim cepat sesuai estimasi,belanja d shopee mudah butuh harga jangkau cod kirim cepat sesuai estimasi
Titis,negative,2023-12-19 11:40:00,najis beli shoope lg pngriman 2 minggu pdhl dket tahan logistik ampe minggu cod mending lazada,najis beli shoope lg pngriman minggu pdhl dket tahan logistik ampe minggu cod mending lazada
Lulu Masry chanel,positive,2023-12-19 08:24:00,suka belanja shopee murah cod paylater bayar transfer shopee pokok ship bgt,suka belanja shopee murah cod paylater bayar transfer shopee pokok ship bgt
Fitri Sudirwan,positive,2023-12-19 08:11:00,tolong mesan cod bayar bayar jadi tera oknum kurir suka nambahin total bayar penting pribadi,tolong mesan cod bayar bayar tera oknum kurir suka nambahin total bayar pribadi
Ajeng Yatmi,positive,2023-12-19 06:19:00,suka banget belanja shopee diskon berkat shopee nggak beli toko harga mahal shopee harga murah toko pasar nya berkat voucher belanja shopee harga murah gratis ongkir belanja toko pasar tinggal main hp aja beli barang nya instan tinggal tunggu barang bayar shopee cod cek mudah nggak takut belanja online,suka banget belanja shopee diskon berkat shopee nggak beli toko harga mahal shopee harga murah toko pasar nya berkat voucher belanja shopee harga murah gratis ongkir belanja toko pasar tinggal main hp aja beli barang nya instan tinggal tunggu barang bayar shopee cod cek mudah nggak takut belanja online
Jay Ashter,negative,2023-12-19 05:44:00,parah banget shopeeudah kapok sy hapus lagimending toko hijau belah jujurdisini jual nipu jual judul kirim apauntung cod sy balikindan sy order beda jam cancel gk kirimchat jual buka balas kapok sy mending sy toko hijaubener2 amanat disiniharus baik shopee inilama2 ilang langgan,parah banget shopeeudah kapok sy hapus lagimending toko hijau belah jujurdisini jual nipu jual judul kirim apauntung cod sy balikindan sy order beda jam cancel gk kirimchat jual buka balas kapok sy mending sy toko hijaubener amanat disiniharus shopee inilama ilang langgan
Abdul Mohammad Virmanysa,neutral,2023-12-19 05:43:00,tolong kasih reting kurir jdi pilih kurir yg pesan gagal 2x garagara batal kurir mna kdng bts kirim trus krna batal sya metode cod 60 hri depan pdhl sya butuh banget beli barang alamat sesuai pesan double cek batal kurir nya malas gimana,tolong kasih reting kurir jdi pilih kurir yg pesan gagal x garagara batal kurir mna kdng bts kirim trus krna batal sya metode cod hri pdhl sya butuh banget beli barang alamat sesuai pesan double cek batal kurir nya malas gimana
SANTOSH XWARU,positive,2023-12-19 05:19:00,bagusss suka cod n gratis ongkirnya,bagusss suka cod n gratis ongkirnya
NurWaini Saputri,neutral,2023-12-19 03:41:00,udh download shopee suma bngt cod brng apk tpi knp pas login akun udh kasih masuk nmor sandi udh klik logindi suruh periksa aman login terustiba tulis maafkamu verifikasi log in silah hubung customer service membantuaku klik la customer service gajelas bngt gtw cok fungsi nya g bantu kira cuman akun yng masalah coba akun yg tpi tetp bgtumsh pjng tpi g ckup,udh download shopee suma bngt cod brng apk tpi knp pas login akun udh kasih masuk nmor sandi udh klik logindi suruh periksa aman login terustiba tulis maafkamu verifikasi log in silah hubung customer service membantuaku klik la customer service gajelas bngt gtw cok fungsi nya g bantu cuman akun yng coba akun yg tpi tetp bgtumsh pjng tpi g ckup
Socer Miudin,positive,2023-12-19 01:31:00,puji shopee inibisah bantu masyarakat yg tinggal desa promosi shopee dgn tman2cuma sayang sy tdk bisah cod bayar tempattapi tdk apa2 urus,puji shopee inibisah bantu masyarakat yg tinggal desa promosi shopee dgn tmancuma sayang sy tdk bisah cod bayar tempattapi tdk urus
Sapta Ningsih,positive,2023-12-18 23:29:00,cepatcuma jatah cod batas,cepatcuma jatah cod batas
Debby Kurniawan Hia,positive,2023-12-18 12:57:00,shoppe aplikasi bagus mudah paham mudah jual beli tolong saat cod barang daerah kabupaten bandung barat kurang hormat shoppe tolong perhati cod sabang merauke daerah provinsi kabupaten jangkau cod,shoppe aplikasi bagus mudah paham mudah jual beli tolong cod barang daerah kabupaten bandung barat hormat shoppe tolong perhati cod sabang merauke daerah provinsi kabupaten jangkau cod
Ari Putra80,positive,2023-12-18 12:16:00,asalamualaikum warohmatullahi wabarokatuh  cod sedia mohon kerjasamanya wasallam ,asalamualaikum warohmatullahi wabarokatuh cod sedia mohon kerjasamanya wasallam
elham budi nurmanto,positive,2023-12-18 11:59:00,belanja shopee kecewa barang belanja sesuai pesan murah2 andal cod,belanja shopee kecewa barang belanja sesuai pesan murah andal cod
Tri Wahyu Ramadhan,negative,2023-12-18 11:55:00,udah belanja shopee kalo bayar langsung telat nganternya gilir cod gas teroos,udah belanja shopee kalo bayar langsung telat nganternya gilir cod gas teroos
aman pahman,neutral,2023-12-18 09:59:00,shoppe gak kayak kecewa nya yg paket cod gak kembali udah gitu jual blokir akun biar gak kembali barang udah pihak shoppe sampe dah 4 nya gak pegang mohon tingkat biar beli puas nyaman gak takut beli shoppe ,shoppe gak kayak kecewa nya yg paket cod gak udah gitu jual blokir akun biar gak barang udah shoppe sampe dah nya gak pegang mohon tingkat biar beli puas nyaman gak takut beli shoppe
Nur Kosim,neutral,2023-12-18 07:53:00,bintang 3 aja ahir2 belanja cod shopee udah brpa x ga respon gampang banget cepat ngeresponya,bintang aja ahir belanja cod shopee udah brpa x ga respon gampang banget cepat ngeresponya
Amelia Salsabila,negative,2023-12-18 07:17:00,transfer seabank gak cod shopee aja mohon atur cod biar mudah codnya makasih,transfer seabank gak cod shopee aja mohon atur cod biar mudah codnya makasih
maharani simanjuntak,positive,2023-12-18 04:32:00,belanja online no ribet suka tinggal beli cod payment sophie pay later mantap banget kirim cepat gratis ongkir nya,belanja online no ribet suka tinggal beli cod payment sophie pay later mantap banget kirim cepat gratis ongkir nya
